"","자치구","합계발생","합계","crime_per_pop","rank","weight"
"1","성북구",2877,447469,0.0064294956745607,25,100
"2","도봉구",2110,325470,0.00648293237471964,24,96
"3","양천구",3214,457656,0.00702274197213628,23,92
"4","노원구",4153,524363,0.00792008589469509,22,88
"5","은평구",3880,482479,0.00804180078303926,21,84
"6","성동구",2512,299204,0.00839560968436251,20,80
"7","강서구",4924,584606,0.00842276678651947,19,76
"8","송파구",5698,671224,0.00848896940514642,18,72
"9","동작구",3400,399519,0.00851023355585091,17,68
"10","강동구",4014,468145,0.00857426651998846,16,64
"11","서대문구",2943,321500,0.00915396578538103,15,60
"12","동대문구",3692,355503,0.0103852850749501,14,56
"13","관악구",5328,507414,0.010500301528929,13,52
"14","중랑구",4268,398732,0.0107039314627369,12,48
"15","구로구",4707,429084,0.0109698800234919,11,44
"16","광진구",4011,358176,0.0111984052532833,10,40
"17","강북구",3838,310106,0.0123764132264452,9,36
"18","금천구",3105,246473,0.0125977287573081,8,32
"19","마포구",4842,380985,0.0127091617780228,7,28
"20","서초구",5542,427642,0.0129594380346177,6,24
"21","강남구",7304,542644,0.0134600216716669,5,20
"22","용산구",3313,244460,0.0135523193978565,4,16
"23","영등포구",5820,406702,0.0143102320618045,3,12
"24","종로구",3846,158332,0.0242907308693126,2,8
"25","중구",4327,134110,0.0322645589441503,1,4
